nohup: ignoring input
[SDP] flash=False, mem_efficient=False, math=True (for higher-order gradients)
Training artifacts will be saved to: ../checkpoints/mmgj_transformer_default_2026-03-16_08-58-26

  0%|                                                                                       | 0/5000000 [00:00<?, ?it/s]
[LGN (1/1)] P-Loss: 6.663 | M-Unroll: 76.885:   0%|                                         | 0/5000000 [00:02<?, ?it/s]
[LGN (1/1)] P-Loss: 6.663 | M-Unroll: 76.885:   0%|                            | 1/5000000 [00:02<3018:28:57,  2.17s/it]
[Work (1/5)] P-Loss: 48.085 | M-Loss: 130.905:   0%|                           | 1/5000000 [00:04<3018:28:57,  2.17s/it]
[Work (4/5)] P-Loss: 22.162 | M-Loss: 107.039:   0%|                          | 76/5000000 [02:12<2408:41:18,  1.73s/it]
[Work (4/5)] P-Loss: 22.162 | M-Loss: 107.039:   0%|                          | 77/5000000 [02:12<2410:06:01,  1.74s/it]
[Work (5/5)] P-Loss: 31.386 | M-Loss: 114.061:   0%|                          | 77/5000000 [02:14<2410:06:01,  1.74s/it]
[Work (5/5)] P-Loss: 31.386 | M-Loss: 114.061:   0%|                          | 78/5000000 [02:14<2416:35:36,  1.74s/it]
[LGN (1/1)] P-Loss: 4.802 | M-Unroll: 88.960:   0%|                           | 78/5000000 [02:15<2416:35:36,  1.74s/it]
[LGN (1/1)] P-Loss: 4.802 | M-Unroll: 88.960:   0%|                           | 79/5000000 [02:15<2335:13:39,  1.68s/it]
[Work (1/5)] P-Loss: 23.838 | M-Loss: 106.930:   0%|                          | 79/5000000 [02:17<2335:13:39,  1.68s/it]
[Work (1/5)] P-Loss: 23.838 | M-Loss: 106.930:   0%|                          | 80/5000000 [02:17<2341:39:32,  1.69s/it]
[Work (2/5)] P-Loss: 22.055 | M-Loss: 105.911:   0%|                          | 80/5000000 [02:19<2341:39:32,  1.69s/it]
[Work (2/5)] P-Loss: 22.055 | M-Loss: 105.911:   0%|                          | 81/5000000 [02:19<2357:14:28,  1.70s/it]
[Work (3/5)] P-Loss: 21.363 | M-Loss: 105.209:   0%|                          | 81/5000000 [02:21<2357:14:28,  1.70s/it]
[Work (3/5)] P-Loss: 21.363 | M-Loss: 105.209:   0%|                          | 82/5000000 [02:21<2374:49:02,  1.71s/it]
[Work (4/5)] P-Loss: 25.328 | M-Loss: 108.727:   0%|                          | 82/5000000 [02:22<2374:49:02,  1.71s/it]
[Work (4/5)] P-Loss: 25.328 | M-Loss: 108.727:   0%|                          | 83/5000000 [02:22<2416:51:30,  1.74s/it]
[Work (5/5)] P-Loss: 20.810 | M-Loss: 103.865:   0%|                          | 83/5000000 [02:24<2416:51:30,  1.74s/it]
[Work (5/5)] P-Loss: 20.810 | M-Loss: 103.865:   0%|                          | 84/5000000 [02:24<2424:19:37,  1.75s/it]
[LGN (1/1)] P-Loss: 3.811 | M-Unroll: 86.878:   0%|                           | 84/5000000 [02:26<2424:19:37,  1.75s/it]
[LGN (1/1)] P-Loss: 3.811 | M-Unroll: 86.878:   0%|                           | 85/5000000 [02:26<2339:15:14,  1.68s/it]
[Work (1/5)] P-Loss: 20.103 | M-Loss: 104.070:   0%|                          | 85/5000000 [02:27<2339:15:14,  1.68s/it]
[Work (1/5)] P-Loss: 20.103 | M-Loss: 104.070:   0%|                          | 86/5000000 [02:27<2341:11:30,  1.69s/it]
[Work (2/5)] P-Loss: 20.660 | M-Loss: 104.593:   0%|                          | 86/5000000 [02:29<2341:11:30,  1.69s/it]
[Work (2/5)] P-Loss: 20.660 | M-Loss: 104.593:   0%|                          | 87/5000000 [02:29<2359:00:42,  1.70s/it]
[Work (3/5)] P-Loss: 19.514 | M-Loss: 103.246:   0%|                          | 87/5000000 [02:31<2359:00:42,  1.70s/it]
[Work (3/5)] P-Loss: 19.514 | M-Loss: 103.246:   0%|                          | 88/5000000 [02:31<2376:59:34,  1.71s/it]
[Work (4/5)] P-Loss: 21.509 | M-Loss: 106.449:   0%|                          | 88/5000000 [02:33<2376:59:34,  1.71s/it]
